Geo Code,Geo Name,Line Number
"10015190339","10010339",1053845
"10015190340","10010340",1056092
"10015190341","10010341",1058339
"10015190342","10010342",1060586
"10015190343","10010343",1062833
"10015190344","10010344",1065080
"10015190345","10010345",1067327
"10015190346","10010346",1069574
"10015190348","10010348",1071821
"10015190356","10010356",1074068
"10015190357","10010357",1076315
"10015190457","10010457",1078562
"10015190458","10010458",1080809
"10015190459","10010459",1083056
"10015190460","10010460",1085303
"10015190461","10010461",1087550
"10015190482","10010482",1089797
"10015190484","10010484",1092044
"10015190485","10010485",1094291
"10015190486","10010486",1096538
"10015190488","10010488",1098785
"10015190489","10010489",1101032
"10015190490","10010490",1103279
"10015190491","10010491",1105526
"10015190492","10010492",1107773
"10015190493","10010493",1110020
"10015190494","10010494",1112267
"10015190495","10010495",1114514
"10015190644","10010644",1116761
"10015190669","10010669",1119008
"10015190670","10010670",1121255
"10015190671","10010671",1123502
"10015190672","10010672",1125749
"10015190673","10010673",1127996
"10015190674","10010674",1130243
"10015190675","10010675",1132490
"10015190676","10010676",1134737
"10015190677","10010677",1136984
"10015190678","10010678",1139231
"10015190681","10010681",1141478
"10015190688","10010688",1143725
"10015190773","10010773",1145972
"10015190774","10010774",1148219
"10015190775","10010775",1150466
"10015190797","10010797",1152713
"10015190812","10010812",1154960
"10015190813","10010813",1157207
"10015190814","10010814",1159454
"10015190815","10010815",1161701
"10015190821","10010821",1163948
"10015190822","10010822",1166195
"10015190823","10010823",1168442
"10015190824","10010824",1170689
"10015190825","10010825",1172936
"10015190826","10010826",1175183
"10015190827","10010827",1177430
"1001542","Mount Pearl",1179677
"10015420620","10010620",1181924
"10015420621","10010621",1184171
"10015420622","10010622",1186418
"10015420623","10010623",1188665
"10015420624","10010624",1190912
"10015420625","10010625",1193159
"10015420626","10010626",1195406
"10015420627","10010627",1197653
"10015420628","10010628",1199900
"10015420629","10010629",1202147
"10015420630","10010630",1204394
"10015420631","10010631",1206641
"10015420632","10010632",1208888
"10015420633","10010633",1211135
"10015420634","10010634",1213382
"10015420635","10010635",1215629
"10015420636","10010636",1217876
"10015420637","10010637",1220123
"10015420638","10010638",1222370
"10015420639","10010639",1224617
"10015420640","10010640",1226864
"10015420641","10010641",1229111
"10015420642","10010642",1231358
"10015420643","10010643",1233605
"10015420645","10010645",1235852
"10015420646","10010646",1238099
"10015420647","10010647",1240346
"10015420648","10010648",1242593
"10015420649","10010649",1244840
"10015420650","10010650",1247087
"10015420651","10010651",1249334
"10015420652","10010652",1251581
"10015420653","10010653",1253828
"10015420654","10010654",1256075
"10015420655","10010655",1258322
"10015420656","10010656",1260569
"10015420657","10010657",1262816
"10015420658","10010658",1265063
"10015420659","10010659",1267310
"10015420660","10010660",1269557
"10015420661","10010661",1271804
"10015420662","10010662",1274051
"10015420663","10010663",1276298
"10015420664","10010664",1278545
"1001551","Petty Harbour-Maddox Cove",1280792
"10015510679","10010679",1283039
"10015510680","10010680",1285286
"1001557","Bay Bulls",1287533
"10015570683","10010683",1289780
"10015570684","10010684",1292027
"1001559","Witless Bay",1294274
"10015590685","10010685",1296521
"10015590686","10010686",1298768
"1001565","Division No. 1, Subd. D",1301015
"10015650682","10010682",1303262
"10015650687","10010687",1305509
"1002","Division No. 2",1307756
"1002001","Division No. 2, Subd. E",1310003
"10020010113","10020113",1312250
"1002002","Lewin's Cove",1314497
"10020020112","10020112",1316744
"1002005","Burin",1318991
"10020050110","10020110",1321238
"10020050111","10020111",1323485
"10020050114","10020114",1325732
"10020050115","10020115",1327979
"10020050116","10020116",1330226
"1002006","Division No. 2, Subd. F",1332473
"10020060117","10020117",1334720
"1002008","St. Lawrence",1336967
"10020080118","10020118",1339214
"10020080119","10020119",1341461
"10020080120","10020120",1343708
"1002009","Division No. 2, Subd. G",1345955
"10020090121","10020121",1348202
"1002011","Lawn",1350449
"10020110122","10020122",1352696
"10020110123","10020123",1354943
"1002012","Lamaline",1357190
"10020120125","10020125",1359437
"1002013","Lord's Cove",1361684
"10020130124","10020124",1363931
"1002014","Point May",1366178
"10020140127","10020127",1368425
"1002015","Point au Gaul",1370672
"10020150126","10020126",1372919
"1002016","Division No. 2, Subd. H",1375166
"10020160137","10020137",1377413
"1002017","Frenchman's Cove",1379660
"10020170095","10020095",1381907
"1002018","Fortune",1384154
"10020180128","10020128",1386401
"10020180129","10020129",1388648
"10020180130","10020130",1390895
"1002019","Grand Bank",1393142
"10020190131","10020131",1395389
"10020190132","10020132",1397636
"10020190133","10020133",1399883
"10020190134","10020134",1402130
"10020190135","10020135",1404377
"10020190136","10020136",1406624
"1002021","Garnish",1408871
"10020210094","10020094",1411118
"1002022","Division No. 2, Subd. D",1413365
"10020220105","10020105",1415612
"10020220109","10020109",1417859
"1002023","Winterland",1420106
"10020230096","10020096",1422353
"1002024","Marystown",1424600
"10020240097","10020097",1426847
"10020240098","10020098",1429094
"10020240099","10020099",1431341
"10020240100","10020100",1433588
"10020240101","10020101",1435835
"10020240102","10020102",1438082
"10020240103","10020103",1440329
"10020240104","10020104",1442576
"10020240106","10020106",1444823
"10020240107","10020107",1447070
"1002025","Fox Cove-Mortier",1449317
"10020250108","10020108",1451564
"1002026","Division No. 2, Subd. I",1453811
"10020260086","10020086",1456058
"1002027","Bay L'Argent",1458305
"10020270088","10020088",1460552
"1002029","Division No. 2, Subd. J",1462799
"10020290090","10020090",1465046
"1002030","Grand le Pierre",1467293
"10020300093","10020093",1469540
"1002031","Division No. 2, Subd. C",1471787
"10020310081","10020081",1474034
"1002033","Rushoon",1476281
"10020330085","10020085",1478528
"1002034","Parkers Cove",1480775
"10020340083","10020083",1483022
"1002036","Terrenceville",1485269
"10020360091","10020091",1487516
"1002037","Red Harbour",1489763
"10020370082","10020082",1492010
"1002039","English Harbour East",1494257
"10020390092","10020092",1496504
"1002040","Baine Harbour",1498751
"10020400084","10020084",1500998
"1002041","St. Bernard's-Jacques Fontaine",1503245
"10020410089","10020089",1505492
"1002044","Division No. 2, Subd. L",1507739
"10020440080","10020080",1509986
"1002048","Division No. 2, Subd. K",1512233
"10020480079","10020079",1514480
"1002055","Little Bay East",1516727
"10020550087","10020087",1518974
"1003","Division No. 3",1521221
"1003001","Division No. 3, Subd. A",1523468
"10030010056","10030056",1525715
"1003002","Rencontre East",1527962
"10030020057","10030057",1530209
"1003003","St. Jacques-Coomb's Cove",1532456
"10030030058","10030058",1534703
"1003004","Belleoram",1536950
"10030040060","10030060",1539197
"1003005","Pool's Cove",1541444
"10030050059","10030059",1543691
"1003006","Division No. 3, Subd. B",1545938
"10030060065","10030065",1548185
"1003008","Harbour Breton",1550432
"10030080066","10030066",1552679
"10030080067","10030067",1554926
"10030080068","10030068",1557173
"1003009","Division No. 3, Subd. C",1559420
"10030090061","10030061",1561667
"1003010","Seal Cove (Fortune Bay)",1563914
"10030100062","10030062",1566161
"1003011","Hermitage-Sandyville",1568408
"10030110063","10030063",1570655
"1003012","Gaultois",1572902
"10030120064","10030064",1575149
"1003014","Division No. 3, Subd. D",1577396
"10030140070","10030070",1579643
"1003018","Milltown-Head of Bay d'Espoir",1581890
"10030180095","10030095",1584137
"10030180096","10030096",1586384
"1003019","St. Alban's",1588631
"10030190092","10030092",1590878
"10030190093","10030093",1593125
"1003020","Morrisville",1595372
"10030200094","10030094",1597619
"1003021","Division No. 3, Subd. E",1599866
"10030210069","10030069",1602113
"1003024","Division No. 3, Subd. F",1604360
"10030240071","10030071",1606607
"1003026","Ramea",1608854
"10030260072","10030072",1611101
"1003028","Burgeo",1613348
"10030280073","10030073",1615595
"10030280074","10030074",1617842
"10030280075","10030075",1620089
"10030280076","10030076",1622336
"1003031","Division No. 3, Subd. H",1624583
"10030310082","10030082",1626830
"1003032","Isle aux Morts",1629077
"10030320083","10030083",1631324
"10030320084","10030084",1633571
"1003033","Burnt Islands",1635818
"10030330080","10030080",1638065
"10030330081","10030081",1640312
"1003034","Channel-Port aux Basques",1642559
"10030340085","10030085",1644806
"10030340086","10030086",1647053
"10030340087","10030087",1649300
"10030340088","10030088",1651547
"10030340089","10030089",1653794
"10030340090","10030090",1656041
"10030340091","10030091",1658288
"1003038","Division No. 3, Subd. I",1660535
"10030380077","10030077",1662782
"1003042","Division No. 3, Subd. J",1665029
"10030420078","10030078",1667276
"1003045","Rose Blanche-Harbour le Cou",1669523
"10030450079","10030079",1671770
"1003801","Samiajij Miawpukek",1674017
"10038010097","10030097",1676264
"10038010098","10030098",1678511
"1004","Division No. 4",1680758
"1004001","Division No. 4, Subd. A",1683005
"10040010112","10040112",1685252
"10040010113","10040113",1687499
"10040010114","10040114",1689746
"1004006","Division No. 4, Subd. B",1691993
"10040060109","10040109",1694240
"10040060110","10040110",1696487
"10040060111","10040111",1698734
"1004011","Division No. 4, Subd. C",1700981
"10040110103","10040103",1703228
"10040110108","10040108",1705475
"1004013","St. George's",1707722
"10040130105","10040105",1709969
"10040130106","10040106",1712216
"10040130107","10040107",1714463
"1004016","Division No. 4, Subd. D",1716710
"10040160078","10040078",1718957
"10040160079","10040079",1721204
"1004017","Gallants",1723451
"10040170077","10040077",1725698
"1004018","Stephenville Crossing",1727945
"10040180100","10040100",1730192
"10040180101","10040101",1732439
"10040180102","10040102",1734686
"10040180104","10040104",1736933
"1004019","Stephenville",1739180
"10040190080","10040080",1741427
"10040190081","10040081",1743674
"10040190082","10040082",1745921
"10040190083","10040083",1748168
"10040190084","10040084",1750415
"10040190085","10040085",1752662
"10040190086","10040086",1754909
"10040190087","10040087",1757156
"10040190088","10040088",1759403
"10040190089","10040089",1761650
"10040190090","10040090",1763897
"10040190091","10040091",1766144
"10040190098","10040098",1768391
"10040190099","10040099",1770638
"1004020","Kippens",1772885
"10040200092","10040092",1775132
"10040200093","10040093",1777379
"10040200094","10040094",1779626
"10040200095","10040095",1781873
"1004021","Port au Port East",1784120
"10040210096","10040096",1786367
"1004022","Division No. 4, Subd. E",1788614
"10040220115","10040115",1790861
"10040220117","10040117",1793108
"10040220118","10040118",1795355
"10040220119","10040119",1797602
"1004033","Cape St. George",1799849
"10040330116","10040116",1802096
"1004037","Lourdes",1804343
"10040370120","10040120",1806590
"1004042","Port au Port West-Aguathuna-Felix Cove",1808837
"10040420097","10040097",1811084
"1005","Division No. 5",1813331
"1005001","Division No. 5, Subd. A",1815578
"10050010151","10050151",1817825
"1005003","Division No. 5, Subd. G",1820072
"10050030077","10050077",1822319
"1005004","Deer Lake",1824566
"10050040082","10050082",1826813
"10050040083","10050083",1829060
"10050040084","10050084",1831307
"10050040085","10050085",1833554
"10050040086","10050086",1835801
"10050040087","10050087",1838048
"10050040088","10050088",1840295
"10050040089","10050089",1842542
"10050040090","10050090",1844789
"1005005","Jackson's Arm",1847036
"10050050076","10050076",1849283
"1005006","Howley",1851530
"10050060152","10050152",1853777
"1005007","Division No. 5, Subd. E",1856024
"10050070079","10050079",1858271
"10050070091","10050091",1860518
"1005008","Hampden",1862765
"10050080078","10050078",1865012
"1005009","Reidville",1867259
"10050090081","10050081",1869506
"1005010","Division No. 5, Subd. F",1871753
"10050100092","10050092",1874000
"1005011","Steady Brook",1876247
"10050110099","10050099",1878494
"1005012","Pasadena",1880741
"10050120093","10050093",1882988
"10050120094","10050094",1885235
"10050120095","10050095",1887482
"10050120096","10050096",1889729
"10050120097","10050097",1891976
"10050120098","10050098",1894223
"1005014","Cormack",1896470
"10050140080","10050080",1898717
"1005015","Gillams",1900964
"10050150120","10050120",1903211
"1005016","Division No. 5, Subd. C",1905458
"10050160150","10050150",1907705
"1005017","Massey Drive",1909952
"10050170101","10050101",1912199
"1005018","Corner Brook",1914446
"10050180102","10050102",1916693
"10050180103","10050103",1918940
"10050180104","10050104",1921187
"10050180105","10050105",1923434
"10050180106","10050106",1925681
"10050180107","10050107",1927928
"10050180108","10050108",1930175
"10050180109","10050109",1932422
"10050180110","10050110",1934669
"10050180111","10050111",1936916
"10050180112","10050112",1939163
"10050180113","10050113",1941410
"10050180114","10050114",1943657
"10050180115","10050115",1945904
"10050180129","10050129",1948151
"10050180130","10050130",1950398
"10050180131","10050131",1952645
"10050180132","10050132",1954892
"10050180133","10050133",1957139
"10050180134","10050134",1959386
"10050180135","10050135",1961633
"10050180136","10050136",1963880
"10050180137","10050137",1966127
"10050180138","10050138",1968374
"10050180139","10050139",1970621
"10050180140","10050140",1972868
"10050180141","10050141",1975115
"10050180143","10050143",1977362
"10050180144","10050144",1979609
"10050180145","10050145",1981856
"10050180146","10050146",1984103
"10050180147","10050147",1986350
"10050180148","10050148",1988597
"10050180149","10050149",1990844
"10050180155","10050155",1993091
"10050180156","10050156",1995338
"10050180158","10050158",1997585
"10050180159","10050159",1999832
"10050180160","10050160",2002079
"1005019","Division No. 5, Subd. D",2004326
"10050190122","10050122",2006573
"1005020","Humber Arm South",2008820
"10050200124","10050124",2011067
"10050200125","10050125",2013314
"10050200126","10050126",2015561
"1005022","McIvers",2017808
"10050220121","10050121",2020055
"1005023","Cox's Cove",2022302
"10050230123","10050123",2024549
"1005024","Lark Harbour",2026796
"10050240154","10050154",2029043
"1005025","Meadows",2031290
"10050250119","10050119",2033537
"1005028","Hughes Brook",2035784
"10050280117","10050117",2038031
"1005030","Irishtown-Summerside",2040278
"10050300116","10050116",2042525
"10050300118","10050118",2044772
"1005033","Mount Moriah",2047019
"10050330127","10050127",2049266
"1005035","York Harbour",2051513
"10050350153","10050153",2053760
"1006","Division No. 6",2056007
